"Nom station dépose","Latitude station dépose","Longitude station dépose",Total,VAE,VM
"Gare du Nord - Faubourg Saint-Denis","48,8796127655036","2,35684029757977",9,9,0
"Gare du Nord - Denain","48,879595787608","2,3544725775719",15,8,7
"Cardinal Lavigerie","48,8329341936998","2,40263674939916",9,7,2
"Place d'Italie - Vincent Auriol","48,831481874467","2,3567550292319",10,6,4
"Porte d'Italie","48,817161987719","2,36023630946875",10,5,5
"Choisy - Malmaisons","48,8219197029561","2,36334688340709",15,6,9
"Boutroux - Porte de Vitry","48,822632","2,377738",3,3,0
"Place du Docteur Yersin","48,8201049499198","2,37255837768316",3,0,3
"Marc Sangnier - Porte de Vanves","48,8252186835567","2,31071166694164",2,1,1
"Méchain - Faubourg Saint-Jacques","48,8358677209948","2,33798034198275",9,4,5
"Santé - Arago","48,8350765756206","2,34157372620449",4,4,0
"Romain Rolland","48,8202152296628","2,32341442344183",9,6,3
"Château - Place de Catalogne","48,836805542262","2,3185293003917",13,12,1
"Maurice d''''Ocagne - General Maudhuy","48,8241428252416","2,31587894260883",20,10,10
"La Motte-Picquet - Grenelle","48,8485832133919","2,2993478178978",6,5,1
"Suffren - La Motte-Piquet","48,8508812309187","2,30121999979019",9,7,2
"François Ponsard - La Muette ","48,8583666","2,2744515",9,9,0
"Sablons - Georges Mandel","48,863875","2,28189",14,14,0
"Porte Pouchet-Bessières","48,8978765","2,3230632",11,11,0
"Porte de Saint-Ouen - Bessières","48,8979224085452","2,32851451022192",24,16,8
"Porte de Clignancourt.","48,897488","2,343996",15,15,0
"Belleville - Porte des Lilas","48,8766039189276","2,40476969112948",10,10,0
"Edouard Pailleron - Bouret","48,8805976940705","2,37694948911667",9,0,9
"Place de la Nation - Charonne","48,848364667777","2,3997623859813",2,2,0
"Reynaldo Hahn - Lagny","48,8492660436018","2,41233032884477",13,1,12
"Place du Maquis du Vercors","48,8773215794936","2,40837827324867",9,6,3
"Lucie Aubrac - Fort","48,818144834009","2,27118462324143",11,5,6
"Fontaine du Tertre - Calvaire","48,8702539","2,2187778",7,3,4
"Gare de Bellevue","48,8192404685572","2,22953092306852",10,10,0
"Paris - Désiré Préaux","48,857428766949","2,43230491876602",9,8,1
"François Debergue - Croix de Chavaux","48,8574217080721","2,4375781416893",9,6,3
"Place François Mitterand","48,8649278201633","2,44295831769705",10,10,0
"Place aux Étoiles","48,9183562940846","2,35234256833792",17,4,13
"Carrefour Pleyel","48,9203415696033","2,34385438263416",26,0,26
"Hôtel de Ville de Saint-Ouen","48,911380185786","2,3340076807601",6,3,3
"Blanqui - Docteur Bauer","48,907735489085","2,3407192814591",17,17,0
"Pierre et Marie Curie - Maurice Thorez","48,815802263608","2,37680498510599",16,16,0
"Amédée Huon - Fort d'Ivry","48,8051313769","2,38848969340324",15,9,6
"Raspail - Manufacture des Oeillets","48,8094458","2,3903009",28,22,6
"Place des Marseillais","48,8266390725255","2,40592807531357",14,14,0
"Paris - Laitières","48,8463027415126","2,42075532674789",5,0,5
"Maxime Gorki - Paul Vaillant-Couturier","48,7967350879544","2,36833423376083",13,12,1
"Guy Môquet - Parvis Georges Marchais","48,7951884009598","2,35943466424942",9,9,0
"Karl Marx","48,7845279372932","2,36466679794556",13,3,10
"Hoche - Tilsitt","48,874836457837","2,2971323132515",15,15,0
