"Nom station dépose","Latitude station dépose","Longitude station dépose",Total,VAE,VM
"Gare du Nord - Saint-Vincent de Paul","48,880955741648","2,3524305148385",6,6,0
"Gare du Nord - Denain","48,879595787608","2,3544725775719",13,0,13
"Bastille - Biscornet","48,851355779579","2,369220033288",1,1,0
"Fabre d'Eglantine - Place de la Nation","48,8471116","2,3956204",28,14,14
"Place d'Italie - Soeur Rosalie","48,831908520394","2,3546943448098",14,1,13
"Place d'Italie - Vincent Auriol","48,831481874467","2,3567550292319",11,3,8
"Bobillot - Moulin des Prés","48,828657346203","2,353020646317",9,9,0
"Porte d'Ivry","48,8217687475965","2,36887067556381",13,3,10
"Eugène Oudiné - Dessous Des Berges","48,8256423","2,3750226",14,14,0
"Pau Casals - Neuve Tolbiac","48,8311602","2,3774395",15,12,3
"Bobillot - Paulin Mery","48,8298998417474","2,35433567667485",8,5,3
"Schoelcher - Raspail","48,8368173352684","2,33127940804115",11,11,0
"Port Royal - Hôpital Cochin","48,838608030238","2,3406994164846",4,4,0
"René Coty - Place Denfert-Rochereau","48,833056477316","2,3329411447048",24,22,2
"Porte d''Orléans","48,8227639","2,3249313",6,2,4
"Place de la Porte de Châtillon","48,8242469","2,3186306",33,29,4
"Maine - Jean Zay","48,837925263898","2,3225428909063",7,3,4
"Le Brix et Mesmin - Jourdan","48,8223409659341","2,32786165330247",9,8,1
"Gare Montparnasse - René Mouchotte","48,8392038432924","2,32088394463062",13,3,10
"Dantzig - Lefebvre","48,8301392158676","2,29593403637409",12,12,0
"Saint-Didier - Raymond Poincaré","48,8664231202096","2,28586349719241",14,14,0
"Mairie du 16ème","48,863936848472","2,27659530937672",16,9,7
"Porte Pouchet-Bessières","48,8978765","2,3230632",11,11,0
"Porte de Saint-Ouen - Bessières","48,8979224085452","2,32851451022192",13,13,0
"Porte de Saint-Ouen - Henri Huchard","48,8987083663651","2,32953608036041",13,6,7
"Caulaincourt - Place Constantin Pecqueur","48,8896779050281","2,33817871442611",14,4,10
"René Binet - Porte de Montmartre","48,8990510995085","2,33655340969563",25,15,10
"Pierre Ginier - Clichy","48,8867667","2,326228",9,9,0
"Etienne Jodelle - Saint Ouen","48,8879401639469","2,32612442031434",10,0,10
"Arthur Ranc - Hôpital Bichat","48,8978712500682","2,33352184295654",14,0,14
"Cambrai - Benjamin Constant","48,8959473685135","2,38113380224631",15,0,15
"Belleville - Porte des Lilas","48,8766039189276","2,40476969112948",12,8,4
"Edouard Pailleron - Simon Bolivar ","48,8797988605","2,3748392611742",10,10,0
"Manin - Secrétan","48,8791665","2,3787959",24,24,0
"Place de la Nation - Charonne","48,848364667777","2,3997623859813",12,5,7
"Frères Flavien - Porte des Lilas","48,8780992764359","2,41104629853209",13,11,2
"Louis Ganne - Davout","48,8633872069261","2,40972574800253",9,9,0
"Cours de Vincennes - Davout","48,847238029966","2,4107042336225",14,5,9
"Repos - Cimetière du Père Lachaise","48,859358523593","2,3896131366845",12,9,3
"Professeur René Leriche - Général Leclerc ","48,9078284548301","2,30788797140122",15,15,0
"Jean Bleuzen - Square du 11 Novembre","48,8232579","2,2965213",8,2,6
"Gare RER - Général de Gaulle","48,933548439566","2,3064726536317",5,4,1
"Maréchal Leclerc de Hauteclocque - Marché Buzenval","48,858446","2,192077",15,6,9
"Paris - Désiré Préaux","48,857428766949","2,43230491876602",8,8,0
"Stade de France","48,9191419535581","2,3620655760169",13,13,0
"Carrefour Pleyel","48,9203415696033","2,34385438263416",15,15,0
"Hôtel de Ville - Pont-Marie","48,8538996455274","2,35694725066423",4,4,0
"Gare Rer de Fontenay sous Bois","48,8436279","2,4630465",13,10,3
"Stalingrad - Germaine Tailleferre","48,8025720048132","2,37866912037134",15,9,6
"Lebrun - Colonel Fabien ","48,7826687073315","2,38131780177355",8,5,3
"Youri Gagarine - Karl Marx","48,7844848507915","2,35908430069685",7,5,2
"Karl Marx","48,7845279372932","2,36466679794556",14,3,11
"Place Nelson Mandela","48,8978743181806","2,21828207373619",11,11,0
