"Nom station dépose","Latitude station dépose","Longitude station dépose",Total,VAE,VM
"Gare de l'Est - Verdun","48,876156054271","2,3609149083206",10,8,2
"Gare du Nord - Faubourg Saint-Denis","48,8796127655036","2,35684029757977",10,2,8
"Gare du Nord - Place de Valenciennes","48,879089","2,354235",13,2,11
"Terroirs de France - Lheureux","48,8321202707484","2,38861810415983",4,4,0
"Porte d'Ivry","48,8217687475965","2,36887067556381",9,7,2
"Schoelcher - Raspail","48,8368173352684","2,33127940804115",13,10,3
"Sarrette - Général Leclerc","48,825030852925","2,3264128693982",11,11,0
"Gare Montparnasse - René Mouchotte","48,8392038432924","2,32088394463062",14,8,6
"Château - Place de Catalogne","48,836805542262","2,3185293003917",24,14,10
"Maurice d''''Ocagne - General Maudhuy","48,8241428252416","2,31587894260883",18,11,7
"Henry Farman","48,8337243028055","2,27138545364141",11,11,0
"Pasteur - Cotentin","48,8389284","2,316356",10,10,0
"Victor Hugo - La Pompe","48,8679522247086","2,28146318346262",15,2,13
"Paul Valery - Victor Hugo","48,8713740608016","2,28871285915375",24,3,21
"Sablons - Georges Mandel","48,863875","2,28189",13,6,7
"Square Louise Michel","48,884687354509","2,3441386967897",13,4,9
"Caulaincourt - Place Constantin Pecqueur","48,8896779050281","2,33817871442611",5,2,3
"Pyrénées - Cours de Vincennes","48,847796779935","2,4061721563339",15,14,1
"Buzenval - Avron","48,8516172049987","2,40151359730767",14,0,14
"Pyrénées - Charles Renouvier","48,8609593322922","2,40042185204211",13,8,5
"Cours de Vincennes - Davout","48,847238029966","2,4107042336225",22,12,10
"Jardin de l'Hospice Debrousse","48,861451061938","2,40568600595",7,7,0
"Saint-Fargeau - Mortier","48,8726665612226","2,40791290998459",14,11,3
"Claude Debussy - Marc Bloch","48,910388180512","2,3117771744728",15,15,0
"Place Aimé Césaire","48,7831947130678","2,24291279911995",16,6,10
"Gardenat-Lapostol - Velettes","48,87387","2,224185",8,5,3
"Place Centrale","48,7874016769053","2,227883040905",8,8,0
"Guy Môquet - Etienne Dolet","48,8152700999182","2,29807827699507",9,8,1
"Place de la Division Leclerc","48,7938249886365","2,2731140430551",13,9,4
"Sèvres Rive Gauche","48,821443218278","2,2150785306885",13,10,3
"Place Charles de Gaulle","48,826073335699","2,1894485725692",9,4,5
"Raspail - Manufacture des Oeillets","48,8094458","2,3903009",13,6,7
"Parc Départemental des Hautes-Bruyères","48,7934579013989","2,35090121626854",8,5,3
"Karl Marx","48,7845279372932","2,36466679794556",8,4,4
"Place Georges Guillaumin","48,8747502039566","2,30177143532599",9,0,9
"Hoche - Tilsitt","48,874836457837","2,2971323132515",12,4,8
"Gérando - Rochechouart","48,88294340845","2,3464846238494",15,12,3
