"Nom station dépose","Latitude station dépose","Longitude station dépose",Total,VAE,VM
"Place d'Italie - Vincent Auriol","48,831481874467","2,3567550292319",15,6,9
"Jean Colly - Tolbiac","48,8278172915978","2,37054906785488",11,6,5
"M.- A. Lagroua Weill-Hallé -  F. Dolto","48,8285952838574","2,38022060626611",12,10,2
"Dantzig - Lefebvre","48,8301392158676","2,29593403637409",13,9,4
"Sorbier - Gasnier-Guy","48,8652176310112","2,39365965127945",14,4,10
"Sorbier - Ménilmontant","48,8685423956607","2,38977212458849",15,12,3
"Pyrénées - Emmery","48,872010281271","2,39203959703445",12,0,12
"Place du Général de Gaulle","48,8525288","2,4877332",14,8,6
"Marne - Charles de Gaulle","48,8150717195444","2,41216689348221",13,8,5
"Place Jean Ferrat","48,8184945213025","2,37441748380661",15,8,7
"Pierre et Marie Curie - Maurice Thorez","48,815802263608","2,37680498510599",14,9,5
"Amédée Huon - Fort d'Ivry","48,8051313769","2,38848969340324",13,11,2
"Gare RER - Maurice Grandcoing","48,813881","2,392429",12,6,6
"Youri Gagarine - Commune de Paris","48,782427463041","2,3939734697342",3,0,3
"Gay Lussac - Saint-Jacques","48,8447302561321","2,34192394486641",15,5,10
