"Nom station dépose","Latitude station dépose","Longitude station dépose",Total,VAE,VM
"Place d'Italie - Soeur Rosalie","48,831908520394","2,3546943448098",28,23,5
"Place d'Italie - Vincent Auriol","48,831481874467","2,3567550292319",27,6,21
"Bobillot - Moulin des Prés","48,828657346203","2,353020646317",9,9,0
Olympiades,"48,826764665199","2,3650860786438",8,7,1
"Porte d'Ivry","48,8217687475965","2,36887067556381",8,0,8
"Pau Casals - Neuve Tolbiac","48,8311602","2,3774395",28,23,5
"Bobillot - Paulin Mery","48,8298998417474","2,35433567667485",14,14,0
"Place du Docteur Yersin","48,8201049499198","2,37255837768316",24,16,8
"Station Paris Basketball - Stade Georges Carpentier","48,8204824383814","2,36683219671249",15,4,11
"Edgar Quinet - Gaité","48,8411609289663","2,32459545135498",10,6,4
"Edgar Quinet - Raspail","48,8394026667384","2,32971478253603",11,11,0
"Jourdan - Stade Charléty","48,819428333369","2,3433353751898",13,12,1
"Place de la Porte de Châtillon","48,8242469","2,3186306",13,11,2
"Gare Montparnasse - Edgar Quinet","48,841487851079","2,3233232282801",7,4,3
"Gare Montparnasse - René Mouchotte","48,8392038432924","2,32088394463062",9,8,1
"Jourdan - Cité Universitaire","48,8198973431567","2,33970079641244",9,9,0
"Gare Montparnasse - Vaugirard","48,8418071798797","2,31951002690117",14,14,0
"Place Fernand Forest","48,8492691438359","2,28186316788197",10,10,0
"Victor Hugo - La Pompe","48,8679522247086","2,28146318346262",9,9,0
"Gare de Pont-Cardinet","48,8871390147531","2,31449414399426",15,15,0
"Porte d'Aubervilliers","48,8985966194238","2,36897226423025",15,15,0
"Gaston Tessier - Rosa Parks RER","48,8963765","2,3743692",15,15,0
"Louis Lumière - Porte de Bagnolet","48,8643113600001","2,41052102297544",3,3,0
"Edouard Tremblay - Julian Grimaux","48,781383825117","2,3723508417606",8,0,8
"Parc Départemental des Hautes-Bruyères","48,7934579013989","2,35090121626854",9,7,2
"Gare Saint-Lazare - Stockholm","48,8771273166677","2,32241716235876",15,15,0
"Rossini - Laffitte","48,8733462751051","2,33798086770167",10,10,0
"Laffitte - Italiens","48,871815737396","2,3372015478451",9,9,0
"Taitbout - La Fayette","48,8733298891997","2,33526259660721",19,19,0
