"Nom station dépose","Latitude station dépose","Longitude station dépose",Total,VAE,VM
"Gare du Nord - Hôpital Lariboisière","48,881949","2,352339",16,16,0
"Saint-Mandé - Fabre d'Eglantine","48,8453579","2,3965022",8,3,5
"Porte de Charenton","48,8312401058564","2,39891074597836",15,6,9
"Fabre d'Eglantine - Place de la Nation","48,8471116","2,3956204",15,14,1
"Place d'Italie - Soeur Rosalie","48,831908520394","2,3546943448098",29,16,13
"Place d'Italie - Vincent Auriol","48,831481874467","2,3567550292319",26,19,7
"Bobillot - Paulin Mery","48,8298998417474","2,35433567667485",9,0,9
"Station Paris Basketball - Stade Georges Carpentier","48,8204824383814","2,36683219671249",9,7,2
"Bruneseau - Quai d'Ivry","48,8249456375829","2,38856613636017",4,3,1
"Schoelcher - Raspail","48,8368173352684","2,33127940804115",10,8,2
"René Coty - Place Denfert-Rochereau","48,833056477316","2,3329411447048",13,7,6
"Place de la Porte de Châtillon","48,8242469","2,3186306",9,3,6
"Maine - Jean Zay","48,837925263898","2,3225428909063",10,6,4
"Gare Montparnasse - Edgar Quinet","48,841487851079","2,3233232282801",14,9,5
"Gare Montparnasse - René Mouchotte","48,8392038432924","2,32088394463062",17,0,17
"Odessa - Départ","48,842885590081","2,3244281485677",8,6,2
"Jourdan - Monticelli","48,822032","2,329095",10,9,1
"Maurice d''''Ocagne - General Maudhuy","48,8241428252416","2,31587894260883",10,1,9
"Pasteur - Cotentin","48,8389284","2,316356",12,4,8
"Parc Suzanne Lenglen","48,8332506905379","2,27654032409191",9,9,0
"Chernoviz - Raynouard","48,8569864146289","2,28217321814299",10,0,10
"Navier - Epinettes","48,8958778076915","2,32267767190933",15,7,8
"Place des Ternes.","48,8784386312265","2,2977277636528",14,8,6
"Cimetière de Montmartre","48,886472466142","2,3328901827335",28,28,0
"Place du Maquis du Vercors","48,8773215794936","2,40837827324867",14,4,10
"Louis Ganne - Davout","48,8633872069261","2,40972574800253",9,0,9
"Cours de Vincennes - Davout","48,847238029966","2,4107042336225",8,0,8
"Louis Lumière - Porte de Bagnolet","48,8643113600001","2,41052102297544",9,7,2
"Saint-Fargeau - Mortier","48,8726665612226","2,40791290998459",15,4,11
"Repos - Cimetière du Père Lachaise","48,859358523593","2,3896131366845",8,2,6
"Guichet - Jean Jaurès","48,905169868129","2,30238407850266",11,0,11
"Claude Debussy - Marc Bloch","48,910388180512","2,3117771744728",33,30,3
"Chausson - Gabriel Péri","48,9218910034811","2,29523062705994",3,0,3
"Gare RER - Général de Gaulle","48,933548439566","2,3064726536317",5,4,1
"Place de la Division Leclerc","48,7938249886365","2,2731140430551",7,0,7
"Anatole France - Louise Michel","48,8887321492647","2,28815764188767",15,15,0
"Division Leclerc - Kléber","48,798666226364","2,2833752789972",9,0,9
"Victor Hugo - Gare","48,923133952658","2,26009704172611",13,10,3
"Place de l'Europe - Alfortville","48,7891370240584","2,42848008871079",4,1,3
"Batignolles - Beudant","48,8821640146638","2,31985297054052",15,9,6
"Courcelles - Place des Ternes","48,8781999289231","2,2992860188665",15,0,15
"Place Nelson Mandela","48,8978743181806","2,21828207373619",15,15,0
