"Nom station dépose","Latitude station dépose","Longitude station dépose",Total,VAE,VM
"Arthur Ranc - Hôpital Bichat","48,8978712500682","2,33352184295654",12,11,1
"Auguste Blanqui - Corvisart","48,8300989","2,3502726",14,10,4
"Auguste Cain - Jean Moulin","48,8257702892757","2,32104152441025",7,5,2
"Bobillot - Paulin Mery","48,8298998417474","2,35433567667485",13,13,0
"Charonne - Pierre Bayle","48,858445054262","2,3903981223891",9,9,0
"Chazelles - Courcelles ","48,879406604954","2,3034455627203",12,6,6
"Chevaleret - Louise Weiss","48,8325865133506","2,37121138811995",8,3,5
"Choisy - Malmaisons","48,8219197029561","2,36334688340709",16,8,8
"Cimetière de Montmartre","48,886472466142","2,3328901827335",13,13,0
"Clichy - Douai","48,883687771522","2,328063700029",27,18,9
"Dantzig - Lefebvre","48,8301392158676","2,29593403637409",12,12,0
"De Toqueville - Terrasse","48,882428","2,314002",13,13,0
"Fontainebleau - Edmond Michelet","48,8095643684405","2,3626908659935",15,8,7
"Gare - Aristide Briand","48,821410564722","2,2555950104387",1,0,1
"Gare Montparnasse - René Mouchotte","48,8392038432924","2,32088394463062",13,13,0
"Gare RER - Général de Gaulle","48,933548439566","2,3064726536317",13,4,9
"Gare d'Austerlitz - Pont Charles de Gaulle","48,8423198301093","2,36703000962734",5,5,0
"Gare de Pont-Cardinet","48,8871390147531","2,31449414399426",13,13,0
"Grande Armée - Brunel","48,876116","2,288124",13,3,10
"Hôtel de Ville de Saint-Ouen","48,911380185786","2,3340076807601",13,7,6
"Italie - Jardin Joan Miro","48,8199091404576","2,35929485410452",26,17,9
"Marie-Georges Picquart - Pereire","48,8886366934971","2,31117065995932",15,13,2
"Mazagran - Pierre de Coubertin","48,8162186402604","2,34422687441111",10,9,1
Olympiades,"48,826764665199","2,3650860786438",15,5,10
"Pasteur - Cotentin","48,8389284","2,316356",8,8,0
"Pau Casals - Neuve Tolbiac","48,8311602","2,3774395",34,31,3
"Pereire - Ternes","48,8797395483073","2,28801213204861",15,3,12
"Place aux Étoiles","48,9183562940846","2,35234256833792",13,4,9
"Place d'Italie - Soeur Rosalie","48,831908520394","2,3546943448098",28,22,6
"Place d'Italie - Vincent Auriol","48,831481874467","2,3567550292319",25,23,2
"Place de la Porte de Châtillon","48,8242469","2,3186306",24,23,1
"Place des Ternes.","48,8784386312265","2,2977277636528",26,26,0
"Place du Docteur Yersin","48,8201049499198","2,37255837768316",16,16,0
"Porte d'Aubervilliers","48,8985966194238","2,36897226423025",23,9,14
"Porte d'Italie","48,817161987719","2,36023630946875",5,4,1
"Porte d'Ivry","48,8217687475965","2,36887067556381",26,23,3
"Porte de Clignancourt - Ney","48,8996411239871","2,34432142227888",14,5,9
"Porte de Saint-Ouen - Bessières","48,8979224085452","2,32851451022192",15,15,0
"Quai Panhard et Levassor","48,8283748280967","2,38427374580557",7,5,2
"Station Paris Basketball - Stade Georges Carpentier","48,8204824383814","2,36683219671249",25,22,3
