"Nom station dépose","Latitude station dépose","Longitude station dépose",Total,VAE,VM
"Bastille - Biscornet","48,851355779579","2,369220033288",9,7,2
"Bobillot - Moulin des Prés","48,828657346203","2,353020646317",14,8,6
"Bobillot - Paulin Mery","48,8298998417474","2,35433567667485",15,6,9
"Cimetière de Montmartre","48,886472466142","2,3328901827335",30,30,0
"Cimetière de Montrouge","48,821466904768","2,3215785772007",12,0,12
"Clef des Champs - Albert Dhalenne","48,914938","2,330665",12,6,6
"Clichy - Douai","48,883687771522","2,328063700029",25,25,0
"Davout - Volga","48,8529196799573","2,41052290977911",13,12,1
"Edgar Quinet - Gaité","48,8411609289663","2,32459545135498",9,9,0
"Fragonard - Porte de Clichy","48,894155633419","2,3143893107772",16,16,0
"Gare Montparnasse - René Mouchotte","48,8392038432924","2,32088394463062",19,17,2
"Gare RER - Général de Gaulle","48,933548439566","2,3064726536317",30,23,7
"Gare d'Austerlitz - Pont Charles de Gaulle","48,8423198301093","2,36703000962734",11,5,6
"Gare de Lyon - Van Gogh","48,843839785643","2,3704450240357",13,12,1
"Hélène et François Missoffe - Emile Borel","48,8999065384349","2,32154399167484",14,14,0
"Italie - Jardin Joan Miro","48,8199091404576","2,35929485410452",13,6,7
"Jardin d'Acclimatation","48,8787722425105","2,27077223360538",9,9,0
"Jean Colly - Tolbiac","48,8278172915978","2,37054906785488",18,9,9
"Marie-Georges Picquart - Pereire","48,8886366934971","2,31117065995932",15,15,0
"Pau Casals - Neuve Tolbiac","48,8311602","2,3774395",13,13,0
"Place Jeanne d'Arc","48,829575","2,369126",4,2,2
"Place d'Italie - Soeur Rosalie","48,831908520394","2,3546943448098",11,11,0
"Place d'Italie - Vincent Auriol","48,831481874467","2,3567550292319",24,24,0
"Place de la Nation - Charonne","48,848364667777","2,3997623859813",15,12,3
"Place des Ternes.","48,8784386312265","2,2977277636528",15,15,0
"Place du Docteur Yersin","48,8201049499198","2,37255837768316",26,11,15
"Place du Président Salvador Allende","48,8973073103561","2,40079153681279",15,15,0
"Porte Pouchet-Bessières","48,8978765","2,3230632",12,4,8
"Porte d'Aubervilliers","48,8985966194238","2,36897226423025",17,17,0
"Porte d'Ivry","48,8217687475965","2,36887067556381",26,20,6
"Porte de Clignancourt.","48,897488","2,343996",14,8,6
"Porte de Saint-Ouen - Bessières","48,8979224085452","2,32851451022192",11,5,6
"Porte de Saint-Ouen - Henri Huchard","48,8987083663651","2,32953608036041",13,12,1
"Square Georges Melies","48,8407023921308","2,40966774523258",9,9,0
"Stalingrad - Henri Luisette","48,7836309245659","2,36693594676193",15,13,2
"Station Brennus","48,923047962065","2,3644428339961",37,22,15
"Station Paris Basketball - Stade Georges Carpentier","48,8204824383814","2,36683219671249",25,19,6
