"Nom station dépose","Latitude station dépose","Longitude station dépose",Total,VAE,VM
"Bastille - Biscornet","48,851355779579","2,369220033288",9,9,0
"Bobillot - Paulin Mery","48,8298998417474","2,35433567667485",14,8,6
"Bois de Vincennes.","48,8338064","2,4132221",6,0,6
"Boulard - Daguerre","48,8344647268061","2,32933860272169",13,13,0
"Camille Risch - Paul Armangot","48,774703","2,373685",9,4,5
"Charenton - Place du Col Bourgoin","48,844867319554","2,3825789350545",2,1,1
"Charonne - Faubourg Saint-Antoine","48,852191909696","2,3740932717919",11,6,5
"Choisy - Tolbiac","48,82591155587","2,3602393269539",13,4,9
"Cimetière de Montmartre","48,886472466142","2,3328901827335",179,35,144
"Edgar Quinet - Gaité","48,8411609289663","2,32459545135498",19,15,4
"Edouard Tremblay - Julian Grimaux","48,781383825117","2,3723508417606",10,7,3
"Epée de Bois - Mouffetard","48,8415086903888","2,35006671398878",19,15,4
"Etienne Jodelle - Saint Ouen","48,8879401639469","2,32612442031434",9,1,8
"Filles Saint-Thomas - Place de la Bourse","48,868899890853","2,3397543845203",13,0,13
"Froidevaux - Boulard","48,835147319625","2,3294411972165",8,3,5
"Frères Flavien - Porte des Lilas","48,8780992764359","2,41104629853209",8,1,7
"Gare de Pont-Cardinet","48,8871390147531","2,31449414399426",16,12,4
"Hôtel de Ville d'Asnières sur Seine","48,9099933002558","2,28823810815811",10,0,10
"Hôtel de Ville de Vincennes","48,8482760970696","2,43989557027817",13,13,0
"Jacquard - Ternaux ","48,8646605","2,373162",8,8,0
"Jardin d'Acclimatation","48,8787722425105","2,27077223360538",8,0,8
"Jourdan - Cité Universitaire","48,8198973431567","2,33970079641244",10,8,2
"M.- A. Lagroua Weill-Hallé -  F. Dolto","48,8285952838574","2,38022060626611",6,5,1
"Madagascar - Meuniers","48,8346046447471","2,39706505089998",9,7,2
"Mairie du 18ème","48,8929392969376","2,34455108642578",12,0,12
"Navier - Epinettes","48,8958778076915","2,32267767190933",22,0,22
"Paul Klee - Place Augusta Holmes","48,838946417408","2,3704235663953",9,4,5
"Place d'Italie - Soeur Rosalie","48,831908520394","2,3546943448098",69,50,19
"Place d'Italie - Vincent Auriol","48,831481874467","2,3567550292319",63,40,23
"Place du Docteur Yersin","48,8201049499198","2,37255837768316",32,25,7
"Place du Maquis du Vercors","48,8773215794936","2,40837827324867",13,5,8
"Porte de Saint-Ouen - Bessières","48,8979224085452","2,32851451022192",25,22,3
"Quai Panhard et Levassor","48,8283748280967","2,38427374580557",9,8,1
"Richard Lenoir - Place de la Bastille","48,8538327","2,3697222",8,5,3
"Ruisseau - Ordener","48,8929946256802","2,34014488756657",12,0,12
"Saint-Maur - République","48,8641858614551","2,37831741571426",11,11,0
"Schoelcher - Raspail","48,8368173352684","2,33127940804115",9,0,9
"Stalingrad - Henri Luisette","48,7836309245659","2,36693594676193",19,11,8
"Toudouze - Clauzel","48,8792959173351","2,33736008405685",5,0,5
"Victor Hugo - Magasins Généraux","48,9032814011268","2,36807238310575",9,6,3
