"Nom station dépose","Latitude station dépose","Longitude station dépose",Total,VAE,VM
"Archives - Rivoli","48,857346707443","2,3539767041802",4,4,0
"Bobillot - Moulin des Prés","48,828657346203","2,353020646317",16,11,5
"Bobillot - Paulin Mery","48,8298998417474","2,35433567667485",19,19,0
"Charonne - Alexandre Dumas","48,8560774150561","2,39486932754517",9,6,3
"Chevaleret - Tolbiac","48,82941","2,375934",13,13,0
"Château de Vincennes","48,8442319325566","2,43920953770918",11,11,0
"Cimetière de Montmartre","48,886472466142","2,3328901827335",9,9,0
"Claude Debussy - Marc Bloch","48,910388180512","2,3117771744728",13,13,0
"Clichy - Douai","48,883687771522","2,328063700029",13,13,0
"Dantzig - Lefebvre","48,8301392158676","2,29593403637409",14,9,5
"De Toqueville - Terrasse","48,882428","2,314002",13,10,3
"Edouard Tremblay - Julian Grimaux","48,781383825117","2,3723508417606",11,8,3
"Edouard Vaillant - Paul-Adolphe Souriau","48,8348458588287","2,2479459643364",4,4,0
"Gare Montparnasse - René Mouchotte","48,8392038432924","2,32088394463062",41,38,3
"Gare RER - Général de Gaulle","48,933548439566","2,3064726536317",3,3,0
"Gare de Lyon - Van Gogh","48,843839785643","2,3704450240357",20,17,3
"Gare de Pont-Cardinet","48,8871390147531","2,31449414399426",12,5,7
"Génie - Mozart","48,7949023812189","2,37341836094856",9,8,1
"Jean Jaurès - Jean Baptiste Clément ","48,8457626145401","2,23696500062943",3,3,0
"Jean Monnet - Iles","48,8233939840573","2,24970731948749",2,2,0
"Jean Oestreicher - Porte de Champerret","48,8865558006598","2,28864043951035",11,11,0
"Lobau - Hôtel de Ville","48,8562118","2,3532536",5,5,0
"M.- A. Lagroua Weill-Hallé -  F. Dolto","48,8285952838574","2,38022060626611",13,4,9
"Mairie d'Issy","48,8237677924683","2,27231115102768",2,0,2
"Marie-Georges Picquart - Pereire","48,8886366934971","2,31117065995932",15,15,0
"Maxime Gorki - Paul Vaillant-Couturier","48,7967350879544","2,36833423376083",11,11,0
"Navier - Epinettes","48,8958778076915","2,32267767190933",14,14,0
"Odessa - Départ","48,842885590081","2,3244281485677",8,3,5
"Parvis Corentin Celton","48,8274725252273","2,27843195199966",6,5,1
"Pau Casals - Neuve Tolbiac","48,8311602","2,3774395",13,1,12
"Place aux Étoiles","48,9183562940846","2,35234256833792",14,8,6
"Place d'Italie - Soeur Rosalie","48,831908520394","2,3546943448098",56,47,9
"Place d'Italie - Vincent Auriol","48,831481874467","2,3567550292319",69,55,14
"Place de l'Hôtel de Ville","48,8573314","2,351458",4,4,0
"Place de la Porte de Châtillon","48,8242469","2,3186306",5,5,0
"Place du Docteur Yersin","48,8201049499198","2,37255837768316",31,27,4
"Porte d'Aubervilliers","48,8985966194238","2,36897226423025",15,5,10
"Porte d'Ivry","48,8217687475965","2,36887067556381",31,31,0
"Porte de Saint-Ouen - Bessières","48,8979224085452","2,32851451022192",29,29,0
"Quai Panhard et Levassor","48,8283748280967","2,38427374580557",20,1,19
"Rocher - Laborde","48,8759024071265","2,32261631637812",10,10,0
"Stade de France","48,9191419535581","2,3620655760169",13,0,13
"Station Paris Basketball - Stade Georges Carpentier","48,8204824383814","2,36683219671249",19,9,10
"Transvaal - Charles de Gaulle ","48,8482804036288","2,23734201208572",3,3,0
"Vistule - Choisy","48,8236554366061","2,36157238483429",8,3,5
