"Nom station dépose","Latitude station dépose","Longitude station dépose",Total,VAE,VM
"Auguste Blanqui - Corvisart","48,8300989","2,3502726",8,5,3
"Bastille - Biscornet","48,851355779579","2,369220033288",15,7,8
"Batignolles - Beudant","48,8821640146638","2,31985297054052",11,8,3
"Belleville - Télégraphe","48,8756045","2,3995549",14,13,1
"Bienfaisance - Place de Narvik","48,8766016345908","2,31297712773085",15,2,13
"Bobillot - Paulin Mery","48,8298998417474","2,35433567667485",14,4,10
"Cambrai - Benjamin Constant","48,8959473685135","2,38113380224631",14,4,10
"Caulaincourt - Place Constantin Pecqueur","48,8896779050281","2,33817871442611",12,0,12
"Chabanais - Petits Champs","48,8670374018672","2,33671601861715",16,16,0
"Chazelles - Courcelles ","48,879406604954","2,3034455627203",12,2,10
"Château - République","48,862923800596","2,4155035614967",8,8,0
"Cimetière de Montrouge","48,821466904768","2,3215785772007",10,2,8
"De Toqueville - Terrasse","48,882428","2,314002",14,6,8
"Edgar Quinet - Gaité","48,8411609289663","2,32459545135498",9,0,9
"Edgar Quinet - Raspail","48,8394026667384","2,32971478253603",5,5,0
"Frères Flavien - Porte des Lilas","48,8780992764359","2,41104629853209",15,0,15
"Gare Montparnasse - Edgar Quinet","48,841487851079","2,3233232282801",9,9,0
"Gare Montparnasse - René Mouchotte","48,8392038432924","2,32088394463062",26,18,8
"Gare d'Austerlitz - Pont Charles de Gaulle","48,8423198301093","2,36703000962734",14,10,4
"Gare du Nord - Denain","48,879595787608","2,3544725775719",19,15,4
"Gare du Nord - Place de Valenciennes","48,879089","2,354235",10,3,7
"Italie - Jardin Joan Miro","48,8199091404576","2,35929485410452",14,12,2
"Jean Jaurès - Reine","48,8400962255885","2,23987251520157",3,3,0
"Jourdan - Stade Charléty","48,819428333369","2,3433353751898",2,2,0
"Le Corbusier - Jean Jaurès","48,8378083055755","2,24083811044693",6,6,0
"Lebrun - Colonel Fabien ","48,7826687073315","2,38131780177355",9,9,0
"Maxime Gorki - Paul Vaillant-Couturier","48,7967350879544","2,36833423376083",8,0,8
"Parc de Choisy","48,828156251575","2,3585135329033",9,9,0
"Pau Casals - Neuve Tolbiac","48,8311602","2,3774395",15,9,6
"Paul Valery - Victor Hugo","48,8713740608016","2,28871285915375",15,10,5
"Phalsbourg - Villiers","48,8824230790095","2,30904534459114",11,3,8
"Place d'Italie - Soeur Rosalie","48,831908520394","2,3546943448098",5,4,1
"Place d'Italie - Vincent Auriol","48,831481874467","2,3567550292319",34,14,20
"Place de la Division Leclerc","48,7938249886365","2,2731140430551",3,1,2
"Place du Docteur Yersin","48,8201049499198","2,37255837768316",15,7,8
"Place du Maquis du Vercors","48,8773215794936","2,40837827324867",18,7,11
"Porte d'Ivry","48,8217687475965","2,36887067556381",25,16,9
"Porte de Saint-Ouen - Bessières","48,8979224085452","2,32851451022192",27,8,19
"Porte de Saint-Ouen - Henri Huchard","48,8987083663651","2,32953608036041",11,3,8
"Romain Rolland","48,8202152296628","2,32341442344183",12,0,12
"Sablons - Georges Mandel","48,863875","2,28189",13,4,9
"Schoelcher - Raspail","48,8368173352684","2,33127940804115",3,1,2
"Square Louise Michel","48,884687354509","2,3441386967897",10,1,9
"Stalingrad - Henri Luisette","48,7836309245659","2,36693594676193",9,9,0
"Station Paris Basketball - Stade Georges Carpentier","48,8204824383814","2,36683219671249",10,10,0
