"Nom station dépose","Latitude station dépose","Longitude station dépose",Total,VAE,VM
"Arthur Ranc - Hôpital Bichat","48,8978712500682","2,33352184295654",13,13,0
"Batignolles - Beudant","48,8821640146638","2,31985297054052",16,16,0
"Belidor - Gouvion-Saint-Cyr","48,8802215405201","2,28546805679798",10,10,0
"Belleville - Porte des Lilas","48,8766039189276","2,40476969112948",9,9,0
"Belleville - Télégraphe","48,8756045","2,3995549",11,11,0
"Bobillot - Paulin Mery","48,8298998417474","2,35433567667485",21,16,5
"Brochant - Clichy","48,8903299891204","2,31973055992978",10,10,0
"Cassini - Denfert-Rochereau","48,837525839067","2,3360354080796",8,7,1
"Caulaincourt - Place Constantin Pecqueur","48,8896779050281","2,33817871442611",16,16,0
"Chernoviz - Raynouard","48,8569864146289","2,28217321814299",14,14,0
"Choisy - Tolbiac","48,82591155587","2,3602393269539",9,6,3
"Clichy - Douai","48,883687771522","2,328063700029",9,8,1
"Edouard Pailleron - Bouret","48,8805976940705","2,37694948911667",13,13,0
"Edouard Tremblay - Julian Grimaux","48,781383825117","2,3723508417606",13,8,5
"Fabre d'Eglantine - Place de la Nation","48,8471116","2,3956204",13,10,3
"Frères Flavien - Porte des Lilas","48,8780992764359","2,41104629853209",28,27,1
"Guy Môquet - Saint-Ouen","48,892777719024","2,32703357934952",13,13,0
"Hélène et François Missoffe - Emile Borel","48,8999065384349","2,32154399167484",10,9,1
"Hôpital Robert Debré","48,8800522220089","2,4008650346327",15,15,0
"Indre - Prairies","48,8625439850678","2,40329045802355",4,4,0
"Italie - Tolbiac","48,8255722946442","2,3576171323657",5,3,2
"Jean Oestreicher - Porte de Champerret","48,8865558006598","2,28864043951035",12,12,0
"Liard - Amiral Mouchez","48,8214169","2,342167",5,5,0
"Macdonald - Césaria Evora","48,89883","2,37933",5,5,0
"Mairie de Montreuil","48,8613145275835","2,44061440229416",3,3,0
"Mairie du 18ème","48,8929392969376","2,34455108642578",14,14,0
"Octave Feuillet - Albéric Magnard","48,8610690294953","2,27302830666304",9,9,0
"Place d'Italie - Soeur Rosalie","48,831908520394","2,3546943448098",33,26,7
"Place d'Italie - Vincent Auriol","48,831481874467","2,3567550292319",17,5,12
"Place du Maquis du Vercors","48,8773215794936","2,40837827324867",20,20,0
"Pont de Levallois-bécon ","48,8984179","2,2791311",13,13,0
"Porte de Charenton","48,8312401058564","2,39891074597836",11,6,5
"Pyrénées - Charles Renouvier","48,8609593322922","2,40042185204211",11,11,0
"René Coty - Place Denfert-Rochereau","48,833056477316","2,3329411447048",13,7,6
"Romain Rolland","48,8202152296628","2,32341442344183",12,8,4
"Schoelcher - Raspail","48,8368173352684","2,33127940804115",12,10,2
"Westermeyer - Paul Vaillant-Couturier","48,8191161815788","2,39666372537613",9,7,2
