"Nom station dépose","Latitude station dépose","Longitude station dépose",Total,VAE,VM
"Amédée Huon - Fort d'Ivry","48,8051313769","2,38848969340324",2,2,0
"Bagnolet - Place Saint-Blaise","48,85973","2,40334",9,9,0
"Bas - Gabriel Péri","48,9158558053962","2,2948095202446",14,14,0
"Batignolles - Beudant","48,8821640146638","2,31985297054052",12,12,0
"Belidor - Gouvion-Saint-Cyr","48,8802215405201","2,28546805679798",16,16,0
"Cassini - Denfert-Rochereau","48,837525839067","2,3360354080796",16,8,8
"Château - Place de Catalogne","48,836805542262","2,3185293003917",10,7,3
"Clichy - Douai","48,883687771522","2,328063700029",27,27,0
"Cours de Vincennes - Soult","48,846918761569","2,4105220288038",9,9,0
"Davout - Volga","48,8529196799573","2,41052290977911",9,9,0
"Didot - Mariniers","48,8265054361311","2,31313619827167",16,8,8
"Edgar Quinet - Gaité","48,8411609289663","2,32459545135498",22,13,9
"Fabre d'Eglantine - Place de la Nation","48,8471116","2,3956204",9,9,0
"Française - Etienne Marcel","48,8640533046538","2,34758701175451",15,15,0
"François Debergue - Croix de Chavaux","48,8574217080721","2,4375781416893",7,7,0
"Félix Faure - Sadi Carnot","48,9081211022839","2,37862318754196",16,16,0
"Gambetta - Michelet","48,8527379238053","2,42996603250504",3,3,0
"Gare Montparnasse - Arrivée","48,843827994315","2,3225811123848",15,15,0
"Gare Montparnasse - Edgar Quinet","48,841487851079","2,3233232282801",37,35,2
"Gare Montparnasse - René Mouchotte","48,8392038432924","2,32088394463062",35,31,4
"Gare Montparnasse - Vaugirard","48,8418071798797","2,31951002690117",25,25,0
"Gare de Pont-Cardinet","48,8871390147531","2,31449414399426",12,12,0
"Gare du Nord - Faubourg Saint-Denis","48,8796127655036","2,35684029757977",15,15,0
"Italie - Jardin Joan Miro","48,8199091404576","2,35929485410452",4,4,0
"Italie - Tolbiac","48,8255722946442","2,3576171323657",19,13,6
"Karl Marx","48,7845279372932","2,36466679794556",8,8,0
"Mairie du 16ème","48,863936848472","2,27659530937672",13,13,0
"Mariotte - Batignolles","48,884571659595","2,321469503475",12,12,0
"Montparnasse -  Square Ozanam","48,843310567822","2,3265242949128",14,10,4
"Ouest - Château ","48,8361728601424","2,3193921439238",9,9,0
"Pasteur - Cotentin","48,8389284","2,316356",13,13,0
"Pierre et Marie Curie - Maurice Thorez","48,815802263608","2,37680498510599",12,10,2
"Place d'Italie - Soeur Rosalie","48,831908520394","2,3546943448098",8,8,0
"Place d'Italie - Vincent Auriol","48,831481874467","2,3567550292319",9,8,1
"Porte d'Italie","48,817161987719","2,36023630946875",9,9,0
"Porte de Saint-Ouen - Bessières","48,8979224085452","2,32851451022192",23,22,1
"Quai Panhard et Levassor","48,8283748280967","2,38427374580557",15,12,3
"Quai des Célestins - Henri IV","48,8512971","2,3624535",2,2,0
"Raymond Poincaré - Place Victor Hugo","48,87030612437","2,28507454142023",13,13,0
"Romain Rolland","48,8202152296628","2,32341442344183",14,14,0
"Romainville - Vaillant-Couturier","48,86785","2,446748",5,5,0
"Schoelcher - Raspail","48,8368173352684","2,33127940804115",10,10,0
"Square d'Anvers","48,882633484311","2,3448844062122",12,12,0
"Stade de France","48,9191419535581","2,3620655760169",15,15,0
"Stalingrad - Germaine Tailleferre","48,8025720048132","2,37866912037134",9,7,2
"Verdun - Carnot","48,8084393760649","2,37379521131516",10,4,6
