"Nom station prise","Latitude station prise","Longitude station prise","Nom station dépose","Latitude station dépose","Longitude station dépose",Total,VAE,VM
"Charenton - Diderot","48,846171461187","2,3793068155646","Place d'Italie - Vincent Auriol","48,831481874467","2,3567550292319",8,1,7
"Balard - Montagne de la Fage","48,8385074033335","2,27828711271286","Place d'Italie - Soeur Rosalie","48,831908520394","2,3546943448098",9,0,9
"Gare Saint-Lazare - Cour du Havre","48,875674400851","2,3265598341823","Square Raymond Souplex","48,8918372147891","2,3354261031659",13,3,10
"Gare de Lyon - Roland Barthes","48,8439572949406","2,37908821552992","Place d'Italie - Vincent Auriol","48,831481874467","2,3567550292319",12,0,12
"Bercy - Villot","48,841795009027","2,3767850184816","Pyrénées - Charles Renouvier","48,8609593322922","2,40042185204211",9,4,5
"Gare de Lyon - Place Louis Armand","48,845515089794","2,3726498446286","Place d'Italie - Soeur Rosalie","48,831908520394","2,3546943448098",13,2,11
Bercy.,"48,839966914994","2,3788625746965","Jourdan - Stade Charléty","48,819428333369","2,3433353751898",15,0,15
"M.- A. Lagroua Weill-Hallé -  F. Dolto","48,8285952838574","2,38022060626611","Auguste Blanqui - Glacière","48,8311516029644","2,34382219612598",9,3,6
"Malesherbes - Place de la Madeleine","48,8704060284825","2,32324350980799","Jules Guesde - Laennec","48,876289839004","2,50069420784712",16,0,16
"Félix Faure - Lourmel","48,8386890170951","2,28180818259716","Dutot - Place Alleray","48,836826091766","2,3071701095578",15,1,14
Bercy.,"48,839966914994","2,3788625746965","Porte d'Ivry","48,8217687475965","2,36887067556381",13,3,10
"Balard - Montagne de la Fage","48,8385074033335","2,27828711271286","Dantzig - Lefebvre","48,8301392158676","2,29593403637409",12,1,11
"Assas - Luxembourg","48,8437344687794","2,33342838187589","Hôpital - Campo-Formio","48,835405","2,358218",9,8,1
"Lucien Bossoutrot - Général Martial Vallin","48,836956046311","2,2741072252393","Convention - Vaugirard","48,8376768223316","2,29558692602025",15,2,13
"Jussieu - Guy de la Brosse","48,845665","2,355653","Epée de Bois - Mouffetard","48,8415086903888","2,35006671398878",13,3,10
"Bercy - Villot","48,841795009027","2,3767850184816","Place d'Italie - Soeur Rosalie","48,831908520394","2,3546943448098",12,4,8
"Malesherbes - Place de la Madeleine","48,8704060284825","2,32324350980799","Porte de Saint-Ouen - Bessières","48,8979224085452","2,32851451022192",15,0,15
"Malesherbes - Place de la Madeleine","48,8704060284825","2,32324350980799","Gérando - Rochechouart","48,88294340845","2,3464846238494",13,4,9
"Raspail - Manufacture des Oeillets","48,8094458","2,3903009","Pau Casals - Neuve Tolbiac","48,8311602","2,3774395",13,6,7
"Jean Macé - Faidherbe","48,85337548426","2,3828620836139","Saint-Fargeau - Mortier","48,8726665612226","2,40791290998459",4,0,4
"Charenton - Place du Col Bourgoin","48,844867319554","2,3825789350545","Fabre d'Eglantine - Place de la Nation","48,8471116","2,3956204",13,5,8
"Jean Macé - Faidherbe","48,85337548426","2,3828620836139","Gare Montparnasse - René Mouchotte","48,8392038432924","2,32088394463062",3,0,3
"Jean Macé - Faidherbe","48,85337548426","2,3828620836139","Louis Lumière.","48,8621619807001","2,41112578185621",6,0,6
"Crozatier - Faubourg Saint-Antoine","48,850440013405","2,378901366211","Repos - Cimetière du Père Lachaise","48,859358523593","2,3896131366845",12,2,10
"Danielle Casanova - Ledru-Rollin","48,8157834978768","2,38325972110033","Porte d'Ivry","48,8217687475965","2,36887067556381",13,0,13
"Jean Macé - Faidherbe","48,85337548426","2,3828620836139","Buzenval - Avron","48,8516172049987","2,40151359730767",10,0,10
